,input,output
0,I should <extra_id_0> <extra_id_1> because I can <extra_id_2> on <extra_id_3> during the <extra_id_4> <extra_id_5>,<extra_id_0> eat <extra_id_1> Oreos <extra_id_2> snack <extra_id_3> Oreos <extra_id_4> basketball <extra_id_5> game <extra_id_6>
3,I should <extra_id_0> <extra_id_1>'s because Oreo <extra_id_2> to <extra_id_3> Oreo.,<extra_id_0> eat <extra_id_1> Oreo <extra_id_2> fun <extra_id_3> dunk <extra_id_4>
6,I should <extra_id_0> my <extra_id_1> because they're <extra_id_2> that way,<extra_id_0> dunk <extra_id_1> oreos <extra_id_2> delicious <extra_id_3>
9,I should use <extra_id_0> <extra_id_1> because they will get me to <extra_id_2> <extra_id_3> and <extra_id_4>,<extra_id_0> Addiosn <extra_id_1> Lee <extra_id_2> work <extra_id_3> safely <extra_id_4> calmly <extra_id_5>
11,I should use <extra_id_0> <extra_id_1> because they <extra_id_2> <extra_id_3> taxi services.,<extra_id_0> Addison <extra_id_1> Lee <extra_id_2> offer <extra_id_3> safe <extra_id_4>
13,I should <extra_id_0> a <extra_id_1> in <extra_id_2> from this <extra_id_3> because this <extra_id_4> will give me peace of mind.,<extra_id_0> book <extra_id_1> car <extra_id_2> advance <extra_id_3> company <extra_id_4> company <extra_id_5>
15,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> will mean less <extra_id_3> on me when I get to my <extra_id_4>,<extra_id_0> prebook <extra_id_1> car <extra_id_2> car <extra_id_3> stress <extra_id_4> destinatino <extra_id_5>
17,I should use <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> are reliable.,<extra_id_0> Addison <extra_id_1> Lee <extra_id_2> service <extra_id_3> Addison <extra_id_4> Lee <extra_id_5> service <extra_id_6>
19,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> will create magic <extra_id_7>,<extra_id_0> buy <extra_id_1> quality <extra_id_2> street <extra_id_3> candy <extra_id_4> quality <extra_id_5> street <extra_id_6> candy <extra_id_7> moments <extra_id_8>
22,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> will make me happy.,<extra_id_0> eat <extra_id_1> Quality <extra_id_2> Street <extra_id_3> candy <extra_id_4> Quality <extra_id_5> Street <extra_id_6> candy <extra_id_7>
25,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> is <extra_id_5>,<extra_id_0> eat <extra_id_1> quality <extra_id_2> street <extra_id_3> quality <extra_id_4> street <extra_id_5> festive <extra_id_6>
28,I should have a <extra_id_0> <extra_id_1> S5 because I would have more <extra_id_2> available to me ,<extra_id_0> Samsung <extra_id_1> Galaxy <extra_id_2> possibilities <extra_id_3>
29,I should <extra_id_0> a <extra_id_1> <extra_id_2> <extra_id_3> because a <extra_id_4> <extra_id_5> <extra_id_6> is durable in bad <extra_id_7> ,<extra_id_0> buy <extra_id_1> Samsung <extra_id_2> Galaxy <extra_id_3> phonen <extra_id_4> Samsung <extra_id_5> Galaxy <extra_id_6> phonen <extra_id_7> weather <extra_id_8>
30,I should not <extra_id_0> the <extra_id_1> out in the <extra_id_2> because the <extra_id_3> will <extra_id_4>,<extra_id_0> bring <extra_id_1> phnoe <extra_id_2> cold <extra_id_3> phone <extra_id_4> freeze <extra_id_5>
31,I SHOULD <extra_id_0> M M because <extra_id_1> M M ARE <extra_id_2>,<extra_id_0> EAT <extra_id_1> EAT <extra_id_2> SOPHISTICATED <extra_id_3>
32,I should <extra_id_0> M&amp;Ms because M&amp;Ms will <extra_id_1> me sexy.,<extra_id_0> eat <extra_id_1> make <extra_id_2>
33,I should <extra_id_0> m&amp;m because they are <extra_id_1>,<extra_id_0> eat <extra_id_1> chocalatey <extra_id_2>
34,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> are made with good bacteria.,<extra_id_0> eat <extra_id_1> Nestle <extra_id_2> products <extra_id_3> becauseThey <extra_id_4>
35,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> a friendly bacteria that helps support immune <extra_id_6>,<extra_id_0> eat <extra_id_1> nestle <extra_id_2> foods <extra_id_3> nestle <extra_id_4> foods <extra_id_5> provide <extra_id_6> systems <extra_id_7>
36,I should <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> me <extra_id_4>,<extra_id_0> drink <extra_id_1> nestle <extra_id_2> nestle <extra_id_3> make <extra_id_4> healthier <extra_id_5>
37,I should <extra_id_0> <extra_id_1> <extra_id_2> because it is <extra_id_3> by nose and throat specialists.,<extra_id_0> smoke <extra_id_1> Philip <extra_id_2> Morris <extra_id_3> recommended <extra_id_4>
38,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> this one.,<extra_id_0> switch <extra_id_1> cigarette <extra_id_2> brands <extra_id_3> doctors <extra_id_4> prefer <extra_id_5>
39,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> are less harsh than other <extra_id_7>,<extra_id_0> smoke <extra_id_1> philip <extra_id_2> morris <extra_id_3> cigarettes <extra_id_4> philip <extra_id_5> morris <extra_id_6> cigarettes <extra_id_7> brands <extra_id_8>
40,I should <extra_id_0> <extra_id_1> <extra_id_2> because their <extra_id_3> <extra_id_4> much better.,<extra_id_0> smoke <extra_id_1> Philip <extra_id_2> Morris <extra_id_3> brand <extra_id_4> tastes <extra_id_5>
41,I should not want to <extra_id_0> these because these are <extra_id_1> <extra_id_2>,<extra_id_0> buy <extra_id_1> real <extra_id_2> harmful <extra_id_3>
42,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> being <extra_id_6>,<extra_id_0> buy <extra_id_1> Tiger <extra_id_2> beer <extra_id_3> Tiger <extra_id_4> beer <extra_id_5> embraces <extra_id_6> wild <extra_id_7>
43,I should <extra_id_0> and get into <extra_id_1> because then I can <extra_id_2> for pictures.,<extra_id_0> drink <extra_id_1> shape <extra_id_2> pose <extra_id_3>
44,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> will help me be wild.,<extra_id_0> drink <extra_id_1> tiger <extra_id_2> beer <extra_id_3> tiger <extra_id_4> beer <extra_id_5>
